division,category,Matrisome Class / Protein Family,geneid,FlyBase Link,Gene Name,UniProt ID,UniProt Protein Name,InterPro Domains,Gene Ontology _Cellular component,Gene Ontology_Biological process,Human Orthologs,Other Gene Names,combined_orthology,,
Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated,Semaphorin,FBgn0011260,FBgn0011260,Sema2a,Q24323,Semaphorin-2A (Semaphorin-II) (Sema II),IPR003599;IPR007110;IPR036179;IPR036352;IPR027231;IPR013783;IPR015943;IPR001627,cytosol [GO:0005829]; endomembrane system [GO:0012505]; extracellular region [GO:0005576]; integral component of plasma membrane [GO:0005887],adult behavior [GO:0030534]; axon guidance [GO:0007411]; dendrite guidance [GO:0070983]; drinking behavior [GO:0042756]; flight behavior [GO:0007629]; olfactory bulb axon guidance [GO:0071678]; sensory neuron axon guidance [GO:0097374]; synaptic target inhibition [GO:0016201]; visual behavior [GO:0007632],SEMA3A; SEMA3B; SEMA3C; SEMA3D; SEMA3E; SEMA3F; SEMA3G; SEMA4A; SEMA4B; SEMA4C; SEMA4D; SEMA4F; SEMA4G; SEMA5A; SEMA5B; SEMA6A; SEMA6B; SEMA6C; SEMA6D; SEMA7A,Sema2a Sema-2a CG4700,SEMA3A; SEMA3B; SEMA3C; SEMA3D; SEMA3E; SEMA3F; SEMA3G; SEMA4A; SEMA4B; SEMA4C; SEMA4D; SEMA4F; SEMA4G; SEMA5A; SEMA5B; SEMA6A; SEMA6B; SEMA6C; SEMA6D; SEMA7A,,
Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated,Semaphorin,FBgn0264273,FBgn0264273,Sema2b,A0A0B4KG38;A1ZAF5;Q29QV5,"Semaphorin-2b, isoform D",IPR036352;IPR027231;IPR015943;IPR001627,integral component of plasma membrane [GO:0005887],dendrite guidance [GO:0070983]; dendrite self-avoidance [GO:0070593]; olfactory bulb axon guidance [GO:0071678]; regulation of cell-matrix adhesion [GO:0001952]; regulation of response to DNA damage stimulus [GO:2001020]; synaptic target attraction [GO:0016200],SEMA3A; SEMA3B; SEMA3C; SEMA3D; SEMA3E; SEMA3F; SEMA3G; SEMA4A; SEMA4B; SEMA4C; SEMA4D; SEMA4F; SEMA4G; SEMA5A; SEMA5B; SEMA6A; SEMA6B; SEMA6C; SEMA6D; SEMA7A,Sema2b Sema-2b CG33960 Dmel_CG33960,SEMA3A; SEMA3B; SEMA3C; SEMA3D; SEMA3E; SEMA3F; SEMA3G; SEMA4A; SEMA4B; SEMA4C; SEMA4D; SEMA4F; SEMA4G; SEMA5A; SEMA5B; SEMA6A; SEMA6B; SEMA6C; SEMA6D; SEMA7A,,
Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated,Semaphorin,FBgn0284221,FBgn0284221,Sema5c,Q7YU67;Q9U631;Q9VTT0,"Semaphorin 5c, isoform A",IPR036352;IPR036383;IPR002165;IPR027231;IPR015943;IPR016201;IPR000884;IPR001627,extracellular space [GO:0005615]; integral component of membrane [GO:0016021],brain morphogenesis [GO:0048854]; central complex development [GO:0048036]; embryonic development via the syncytial blastoderm [GO:0001700]; locomotion involved in locomotory behavior [GO:0031987]; negative chemotaxis [GO:0050919]; olfactory behavior [GO:0042048]; startle response [GO:0001964],SEMA3A; SEMA3B; SEMA3C; SEMA3D; SEMA3E; SEMA3F; SEMA3G; SEMA4A; SEMA4B; SEMA4C; SEMA4D; SEMA4F; SEMA4G; SEMA5A; SEMA5B; SEMA6A; SEMA6B; SEMA6C; SEMA6D; SEMA7A,Sema5c BEST:CK02567 BG01245 CK02567 CT17880 Dmel\CG5661 Dsema3a Sema 5c sema 5c Sema-3a Sema-5C Sema-5c sema-5c Sema3A CG5661 Dmel_CG5661,SEMA3A; SEMA3B; SEMA3C; SEMA3D; SEMA3E; SEMA3F; SEMA3G; SEMA4A; SEMA4B; SEMA4C; SEMA4D; SEMA4F; SEMA4G; SEMA5A; SEMA5B; SEMA6A; SEMA6B; SEMA6C; SEMA6D; SEMA7A,,
Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated,Syndecan,FBgn0010415,FBgn0010415,Sdc,A0A0B4K862;A0A0B4LG79;B7YZM9;B7YZN0;E1JGQ9;P49415,Syndecan,IPR030479;IPR027789;IPR031198;IPR001050;IPR003585,cell surface [GO:0009986]; focal adhesion [GO:0005925]; integral component of membrane [GO:0016021]; neuromuscular junction [GO:0031594]; perivitelline space [GO:0098595]; plasma membrane [GO:0005886]; synapse [GO:0045202],"axon guidance [GO:0007411]; detection of light stimulus involved in visual perception [GO:0050908]; energy homeostasis [GO:0097009]; epithelial cell migration, open tracheal system [GO:0007427]; glial cell development [GO:0021782]; motor neuron axon guidance [GO:0008045]; muscle organ development [GO:0007517]; positive regulation of gene silencing by miRNA [GO:2000637]; positive regulation of synaptic growth at neuromuscular junction [GO:0045887]; regulation of multicellular organismal metabolic process [GO:0044246]",SDC1; SDC2; SDC3; SDC4,Sdc Syd CG10497,SDC1; SDC2; SDC3; SDC4,,
Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated,Teneurin,FBgn0267001,FBgn0267001,Ten-a,B7Z145;E1JJM6;I6LEU4;I6LEU5;I6LEU6;I6LEU7;I6LEU8;M9NF26;M9PJK5;Q8MQJ6;Q9VYN8,Teneurin-a (Tena) (Tenascin-like protein),IPR013111;IPR022385;IPR006530;IPR011041;IPR011042;IPR000742;IPR013032;IPR028916,axon [GO:0030424]; cell junction [GO:0030054]; cytoskeleton of presynaptic active zone [GO:0048788]; extracellular region [GO:0005576]; integral component of plasma membrane [GO:0005887]; neuromuscular junction [GO:0031594]; neuronal cell body [GO:0043025]; presynaptic active zone [GO:0048786]; presynaptic membrane [GO:0042734]; proteinaceous extracellular matrix [GO:0005578],cell adhesion [GO:0007155]; central complex development [GO:0048036]; maintenance of presynaptic active zone structure [GO:0048790]; motor neuron axon guidance [GO:0008045]; neuromuscular synaptic transmission [GO:0007274]; positive regulation of heterotypic cell-cell adhesion [GO:0034116]; positive regulation of locomotion [GO:0040017]; postsynaptic membrane organization [GO:0001941]; presynaptic membrane organization [GO:0097090]; regulation of homotypic cell-cell adhesion [GO:0034110]; regulation of terminal button organization [GO:2000331]; synapse organization [GO:0050808]; synaptic growth at neuromuscular junction [GO:0051124]; synaptic target attraction [GO:0016200]; synaptic target recognition [GO:0008039]; synaptic vesicle membrane organization [GO:0048499],TNC; TNN; TNR,Ten-a CG42338,TNC; TNN; TNR,,
Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated,Teneurin,FBgn0004449,FBgn0004449,Ten-m,M9PGF7;O61307;Q8T962,Teneurin-m (Tenm) (Odd Oz protein) (Tenascin-like protein),IPR006530;IPR031325;IPR008979;IPR008969;IPR011042;IPR000742;IPR013032;IPR028916,cell junction [GO:0030054]; cytoplasm [GO:0005737]; integral component of plasma membrane [GO:0005887]; neuromuscular junction [GO:0031594]; neuronal cell body [GO:0043025]; neuron projection [GO:0043005]; plasma membrane [GO:0005886]; postsynaptic membrane [GO:0045211]; proteinaceous extracellular matrix [GO:0005578],cell adhesion [GO:0007155]; chaeta development [GO:0022416]; compound eye corneal lens development [GO:0048058]; compound eye morphogenesis [GO:0001745]; compound eye photoreceptor development [GO:0042051]; cytoplasmic microtubule organization [GO:0031122]; maintenance of presynaptic active zone structure [GO:0048790]; motor neuron axon guidance [GO:0008045]; neuromuscular synaptic transmission [GO:0007274]; positive regulation of heterotypic cell-cell adhesion [GO:0034116]; positive regulation of locomotion [GO:0040017]; postsynaptic membrane organization [GO:0001941]; presynaptic membrane organization [GO:0097090]; R7 cell development [GO:0045467]; regulation of homotypic cell-cell adhesion [GO:0034110]; regulation of terminal button organization [GO:2000331]; synapse organization [GO:0050808]; synaptic growth at neuromuscular junction [GO:0051124]; synaptic target attraction [GO:0016200]; synaptic target recognition [GO:0008039]; synaptic vesicle membrane organization [GO:0048499],TNC; TNN; TNR,Ten-m odz CG5723,TNC; TNN; TNR,,
Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated,,FBgn0040234,FBgn0040234,c12.2,M9PHH0;Q9NHX8;Q9W347,"C12.2, isoform B (EC 3.6.1.3)",IPR039891;IPR002035;IPR011704;IPR003593;IPR036465;IPR027417,,,,c12.2 CG12149 Dmel_CG12149,0,,
Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated,,FBgn0021742,FBgn0021742,C901,O18375;Q9VZ44,C901 (RT07140p1),IPR013032;IPR001774;IPR000742;IPR002049,membrane [GO:0016020],cell communication [GO:0007154],MEGF6,C901 C901-RA CG1567 Dmel_CG1567,MEGF6,,
Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated,,FBgn0052183,FBgn0052183,Ccn,Q9VVK3,Ccn (GH26928p),IPR006207;IPR001007,proteinaceous extracellular matrix [GO:0005578],cell adhesion [GO:0007155]; cell-cell signaling [GO:0007267]; negative regulation of cell death [GO:0060548]; signal transduction [GO:0007165],NOV; BMPER; CRIM1; CTGF; CYR61; NELL2; WISP1; WISP2; WISP3,Ccn dCCN Dmel\CG32183 CG13735 CG13736 CG32183 Dmel_CG32183,NOV; BMPER; CRIM1; CTGF; CYR61; NELL2; WISP1; WISP2; WISP3,,
Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated,,FBgn0032834,FBgn0032834,CG13965,Q9VIQ7,Uncharacterized protein,,extracellular space [GO:0005615],multicellular organism reproduction [GO:0032504],MUCL1,Dmel\CG13965 CG13965 Dmel_CG13965,MUCL1,,
Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated,,FBgn0033250,FBgn0033250,CG14762,D0Z756;Q7K2X5,"GH01839p (Uncharacterized protein, isoform A)",IPR003591;IPR001611;IPR032675,,neuron projection morphogenesis [GO:0048812],SLIT1; SLIT2; SLIT3; ASPN,CG14762 Dmel_CG14762,SLIT1; SLIT2; SLIT3; ASPN,,
Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated,,FBgn0034391,FBgn0034391,CG15080,A1ZBD8;Q7YU46,Uncharacterized protein,,extracellular space [GO:0005615]; proteinaceous extracellular matrix [GO:0005578],cell adhesion [GO:0007155]; extracellular matrix organization [GO:0030198],POSTN; TGFBI,CG15080 Dmel_CG15080,POSTN; TGFBI,,
Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated,,FBgn0032414,FBgn0032414,CG17211,Q9VKA7,Uncharacterized protein,IPR001007,extracellular matrix [GO:0031012],epithelial tube morphogenesis [GO:0060562],,Dmel\CG17211 CG17211 Dmel_CG17211,0,,
Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated,,FBgn0051869,FBgn0051869,CG31869,B7YZV0;Q7YU62;Q9VKQ0,"Uncharacterized protein, isoform A (Uncharacterized protein, isoform C)",IPR001007,integral component of membrane [GO:0016021],,OTOG; SSPO; TECTA; MUC19; MUC2; MUC5AC; MUC5B; MUC6,Dmel\CG31869 CG17130 CG18499 CG31869 Dmel_CG31869,OTOG; SSPO; TECTA; MUC19; MUC2; MUC5AC; MUC5B; MUC6,,
Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated,,FBgn0085483,FBgn0085483,CG34454,A8JNG6,Uncharacterized protein,IPR002350;IPR036058;IPR039932,extracellular region [GO:0005576]; mitochondrion [GO:0005739],,,Dmel\CG34454 CG34018 CG34454 Dmel_CG34454,0,,
Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated,,FBgn0259823,FBgn0259823,CG42404,A0A0C4DHG7;Q8MRY6;Q9VFA8,"Uncharacterized protein, isoform F",IPR001007,,,,CG42404 Dmel_CG42404,0,,
Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated,,FBgn0263038,FBgn0263038,CG43333,Q8IP52,RE16941p,IPR036378;IPR000782,extracellular space [GO:0005615]; proteinaceous extracellular matrix [GO:0005578],cell adhesion [GO:0007155]; extracellular matrix organization [GO:0030198],,BG:DS01523.2 Dmel\CG43333 CG15291 CG32972 CG43333 Dmel_CG43333,0,,
Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated,,FBgn0032666,FBgn0032666,CG5758,Q0E8P5;Q8MSH1,"CG5758, isoform A (CG5758, isoform B) (CG5758, isoform C) (CG5758, isoform D) (CG5758, isoform E) (CG5758, isoform F) (FI05614p)",IPR036378;IPR000782,extracellular space [GO:0005615]; proteinaceous extracellular matrix [GO:0005578],cell adhesion [GO:0007155]; extracellular matrix organization [GO:0030198]; synaptic target recognition [GO:0008039],POSTN; TGFBI,Dmel\CG5758 CG5758-RC CG5758 Dmel_CG5758,POSTN; TGFBI,,
Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated,,FBgn0036040,FBgn0036040,CG6749,Q9VT44,CG6749 (LP04042p),IPR003591;IPR001611;IPR032675,,,IGFALS; CHAD; CHADL; CPN2,Dmel\CG6749 CG6749 Dmel_CG6749,IGFALS; CHAD; CHADL; CPN2,,
Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated,,FBgn0000395,FBgn0000395,cv-2,Q9GYX3;Q9W2H2,Crossveinless 2 (FI20152p1),IPR001846;IPR001007;IPR014853,cell surface [GO:0009986],endothelial cell differentiation [GO:0045446]; imaginal disc-derived wing morphogenesis [GO:0007476]; imaginal disc-derived wing vein specification [GO:0007474]; negative regulation of BMP signaling pathway [GO:0030514]; regulation of BMP signaling pathway [GO:0030510],BMPER; KCP; CHRDL2; VWC2; VWC2L,cv-2 cv-2-RA CG15671 Dmel_CG15671,BMPER; KCP; CHRDL2; VWC2; VWC2L,,
Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated,,FBgn0039155,FBgn0039155,Kal1,Q95SS0;Q9VCC7,FI03681p (KAL-1) (Kallmann syndrome 1 ortholog) (RH39295p),IPR003961;IPR013783;IPR008197;IPR036645;IPR036116,cell surface [GO:0009986]; external side of plasma membrane [GO:0009897]; extracellular region [GO:0005576]; proteinaceous extracellular matrix [GO:0005578],,KAL1,Kal1 kal-1 CG6173 Dmel_CG6173,KAL1,,
Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated,,FBgn0051619,FBgn0051619,nolo,E1JHP3;Q0E8N3;Q8MRW9;Q9V9Q7;Q9V9Q9;X2JAM1;X2JEX4,"No long nerve cord, isoform A",IPR003599;IPR007110;IPR013273;IPR036383;IPR013098;IPR003598;IPR010909;IPR036179;IPR013783;IPR000884,,ventral cord development [GO:0007419],THSD4; ADAMTS1; ADAMTS10; ADAMTS12; ADAMTS13; ADAMTS14; ADAMTS15; ADAMTS16; ADAMTS17; ADAMTS18; ADAMTS19; ADAMTS20; ADAMTS4; ADAMTS6; ADAMTS7; ADAMTS8; ADAMTS9; ADAMTSL1; ADAMTSL3; ADAMTSL4; ADAMTSL5,nolo CT6940 Dmel\CG31619 CG13236 CG2122 CG2131 CG31619 Dmel_CG31619,THSD4; ADAMTS1; ADAMTS10; ADAMTS12; ADAMTS13; ADAMTS14; ADAMTS15; ADAMTS16; ADAMTS17; ADAMTS18; ADAMTS19; ADAMTS20; ADAMTS4; ADAMTS6; ADAMTS7; ADAMTS8; ADAMTS9; ADAMTSL1; ADAMTSL3; ADAMTSL4; ADAMTSL5,,
Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM Regulators,ADAM,FBgn0039688,FBgn0039688,Kul,A0A0B4LHU2;Q9VAI2,"Kuzbanian-like, isoform C (EC 3.4.24.-)",IPR036436;IPR002870;IPR024079;IPR001762;IPR034025;IPR001590,integral component of membrane [GO:0016021],membrane protein ectodomain proteolysis [GO:0006509]; regulation of Notch signaling pathway [GO:0008593],ADAM10; ADAM17,Kul CG1964 Dmel_CG1964,ADAM10; ADAM17,,
Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM Regulators,ADAM,FBgn0259984,FBgn0259984,kuz,A8DZ02;A8DZ03;Q59DZ3;Q94902;Q9VJW9,"Kuzbanian, isoform G (EC 3.4.24.-)",IPR036436;IPR002870;IPR024079;IPR001762;IPR034025;IPR001590,integral component of membrane [GO:0016021]; perivitelline space [GO:0098595],axon guidance [GO:0007411]; border follicle cell migration [GO:0007298]; cardiocyte differentiation [GO:0035051]; central nervous system development [GO:0007417]; glial cell migration [GO:0008347]; heart morphogenesis [GO:0003007]; lymph gland development [GO:0048542]; membrane protein ectodomain proteolysis [GO:0006509]; muscle tissue development [GO:0060537]; neuroblast fate determination [GO:0007400]; Notch receptor processing [GO:0007220]; Notch signaling pathway [GO:0007219]; oogenesis [GO:0048477]; pericardial nephrocyte differentiation [GO:0061320]; phagocytosis [GO:0006909]; regulation of axon extension [GO:0030516]; regulation of Roundabout signaling pathway [GO:0035386]; skeletal muscle tissue development [GO:0007519]; ventral cord development [GO:0007419],ADAM10; ADAM17,kuz 11410 34Da ADAM10 BG:DS07660.3 br38 CT22079 Dmel\CG7147 GS11410 Kuz l(2)03782 l(2)34Da l(2)br38 l(2)c00136 l(2)k01403 l34Da soy nut CG7147 Dmel_CG7147,ADAM10; ADAM17,,
Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM Regulators,ADAM,FBgn0265140,FBgn0265140,Meltrin,Q400M8;Q6QU65;Q86P79;Q8T3I9,"Meltrin, isoform D (EC 3.4.24.-)",IPR033605;IPR036436;IPR002870;IPR006586;IPR024079;IPR001762;IPR000742;IPR034027;IPR013032;IPR001590,integral component of membrane [GO:0016021]; perivitelline space [GO:0098595],membrane protein ectodomain proteolysis [GO:0006509]; protein oligomerization [GO:0051259],ADAM11; ADAM12; ADAM15; ADAM17; ADAM18; ADAM19; ADAM2; ADAM20; ADAM21; ADAM22; ADAM23; ADAM28; ADAM29; ADAM30; ADAM32; ADAM33; ADAM7; ADAM8; ADAM9; ADAMDEC1,Meltrin Neu3 CG7649 Dmel_CG7649,ADAM11; ADAM12; ADAM15; ADAM17; ADAM18; ADAM19; ADAM2; ADAM20; ADAM21; ADAM22; ADAM23; ADAM28; ADAM29; ADAM30; ADAM32; ADAM33; ADAM7; ADAM8; ADAM9; ADAMDEC1,,
Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM Regulators,ADAM,FBgn0259110,FBgn0259110,mmd,B7Z0Y2;M9NDY9;M9NH46;M9PER2;M9PH86;Q7KUY7;Q9GZ15;Q9VXL1;X2JE21,"Mind-meld, isoform E (EC 3.4.24.-)",IPR013111;IPR036436;IPR002870;IPR000742;IPR006586;IPR024079;IPR001762;IPR018358;IPR034027;IPR013032;IPR001590,integral component of membrane [GO:0016021],membrane protein ectodomain proteolysis [GO:0006509],ADAM11; ADAM12; ADAM15; ADAM17; ADAM18; ADAM19; ADAM2; ADAM20; ADAM21; ADAM22; ADAM23; ADAM28; ADAM29; ADAM30; ADAM32; ADAM33; ADAM7; ADAM8; ADAM9; ADAMDEC1,mmd CG42252 Dmel_CG42252,ADAM11; ADAM12; ADAM15; ADAM17; ADAM18; ADAM19; ADAM2; ADAM20; ADAM21; ADAM22; ADAM23; ADAM28; ADAM29; ADAM30; ADAM32; ADAM33; ADAM7; ADAM8; ADAM9; ADAMDEC1,,
Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM Regulators,ADAM,FBgn0039734,FBgn0039734,Tace,Q9VAC5,ADAM 17-like protease (EC 3.4.24.-),IPR036436;IPR002870;IPR024079;IPR001762;IPR034025;IPR032029;IPR001590,integral component of membrane [GO:0016021],membrane protein ectodomain proteolysis [GO:0006509],ADAM10; ADAM11; ADAM12; ADAM15; ADAM17; ADAM22; ADAM28; ADAM8; ADAM9,Tace CG7908,ADAM10; ADAM11; ADAM12; ADAM15; ADAM17; ADAM22; ADAM28; ADAM8; ADAM9,,
Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM Regulators,ADAMTS,FBgn0286071,FBgn0286071,AdamTS-A,A0A0B4KHK4;Q7KSH7;Q8SXB0,"ADAM metallopeptidase with thrombospondin type 1 motif A, isoform E (EC 3.4.24.-)",IPR012314;IPR013273;IPR036383;IPR002870;IPR010294;IPR024079;IPR000884;IPR001590,integral component of membrane [GO:0016021],"epithelial cell migration, open tracheal system [GO:0007427]; extracellular matrix organization [GO:0030198]; larval salivary gland morphogenesis [GO:0007436]; mesodermal cell migration [GO:0008078]; pole cell migration [GO:0007280]",THSD4; ADAMTS1; ADAMTS10; ADAMTS12; ADAMTS13; ADAMTS14; ADAMTS15; ADAMTS16; ADAMTS17; ADAMTS18; ADAMTS19; ADAMTS2; ADAMTS20; ADAMTS3; ADAMTS4; ADAMTS5; ADAMTS6; ADAMTS7; ADAMTS8; ADAMTS9; ADAMTSL1; ADAMTSL4; ADAMTSL5,AdamTS-A CG14869 Dmel_CG14869,THSD4; ADAMTS1; ADAMTS10; ADAMTS12; ADAMTS13; ADAMTS14; ADAMTS15; ADAMTS16; ADAMTS17; ADAMTS18; ADAMTS19; ADAMTS2; ADAMTS20; ADAMTS3; ADAMTS4; ADAMTS5; ADAMTS6; ADAMTS7; ADAMTS8; ADAMTS9; ADAMTSL1; ADAMTSL4; ADAMTSL5,,
Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM Regulators,ADAMTS,FBgn0029791,FBgn0029791,CG4096,Q8MRL5;Q9W493,"CG4096, isoform B (EC 3.4.24.-)",IPR013273;IPR036383;IPR002870;IPR006586;IPR010294;IPR024079;IPR000884;IPR001590,,negative regulation of epidermal growth factor receptor signaling pathway [GO:0042059],PAPLN; THSD4; COL6A3; ADAMTS1; ADAMTS10; ADAMTS12; ADAMTS13; ADAMTS14; ADAMTS15; ADAMTS16; ADAMTS17; ADAMTS18; ADAMTS19; ADAMTS2; ADAMTS20; ADAMTS3; ADAMTS4; ADAMTS6; ADAMTS7; ADAMTS8; ADAMTS9; ADAMTSL1; ADAMTSL4; ADAMTSL5,CG4096 Dmel_CG4096,PAPLN; THSD4; COL6A3; ADAMTS1; ADAMTS10; ADAMTS12; ADAMTS13; ADAMTS14; ADAMTS15; ADAMTS16; ADAMTS17; ADAMTS18; ADAMTS19; ADAMTS2; ADAMTS20; ADAMTS3; ADAMTS4; ADAMTS6; ADAMTS7; ADAMTS8; ADAMTS9; ADAMTSL1; ADAMTSL4; ADAMTSL5,,
Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM Regulators,ADAMTS,FBgn0032252,FBgn0032252,loh,E1JHE3;M9MRI1;Q8MSF8;Q9VKV3,"Lonely heart, isoform D (EC 3.4.24.-)",IPR013273;IPR010909;IPR036383;IPR000884;IPR010294,extracellular matrix [GO:0031012],larval heart development [GO:0007508]; positive regulation of extracellular matrix assembly [GO:1901203],THSD4; ADAMTSL2; ADAMTSL4; ADAMTSL5,loh CT19510 Dmel\CG6232 Loh CG6232 Dmel_CG6232,THSD4; ADAMTSL2; ADAMTSL4; ADAMTSL5,,
Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM Regulators,ADAMTS,FBgn0034903,FBgn0034903,sona,A0A0B4KFG8;A0A0B4KGD6;B7YZP6;Q2MGN5;Q8MT72;Q9W1J9,"CG9850, isoform F (EC 3.4.24.-)",IPR024079;IPR001590;IPR034030,endosome [GO:0005768]; extracellular matrix [GO:0031012]; Golgi-associated vesicle [GO:0005798],imaginal disc-derived appendage development [GO:0048737]; positive regulation of Wnt signaling pathway [GO:0030177],THSD4; ADAM17; ADAMDEC1; ADAMTS1; ADAMTS10; ADAMTS12; ADAMTS13; ADAMTS14; ADAMTS15; ADAMTS16; ADAMTS17; ADAMTS18; ADAMTS19; ADAMTS20; ADAMTS4; ADAMTS5; ADAMTS6; ADAMTS7; ADAMTS8; ADAMTS9; ADAMTSL1; ADAMTSL4; ADAMTSL5,sona CG9850 Dmel_CG9850,THSD4; ADAM17; ADAMDEC1; ADAMTS1; ADAMTS10; ADAMTS12; ADAMTS13; ADAMTS14; ADAMTS15; ADAMTS16; ADAMTS17; ADAMTS18; ADAMTS19; ADAMTS20; ADAMTS4; ADAMTS5; ADAMTS6; ADAMTS7; ADAMTS8; ADAMTS9; ADAMTSL1; ADAMTSL4; ADAMTSL5,,
Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM Regulators,ADAMTS,FBgn0086408,FBgn0086408,stl,Q8T3M5;Q8T458;Q9W1Z6,"Stall, isoform C (Stall, isoform E) (EC 3.4.24.-)",IPR024079;IPR001590;IPR000884,,negative regulation of neuron migration [GO:2001223]; oogenesis [GO:0048477]; ovarian follicle cell stalk formation [GO:0030713]; ovarian follicle development [GO:0001541],ADAMTS1; ADAMTS13; ADAMTS15; ADAMTS20; ADAMTS4; ADAMTS5; ADAMTS8; ADAMTS9,stl CG3622 Dmel_CG3622,ADAMTS1; ADAMTS13; ADAMTS15; ADAMTS20; ADAMTS4; ADAMTS5; ADAMTS8; ADAMTS9,,
Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM Regulators,Cathepsin,FBgn0250848,FBgn0250848,26-29-p,Q9V3U6,"26-29kD-proteinase (EC 3.4.-.-) (Homologue of Sarcophaga 26,29kDa proteinase) (RE18380p)",IPR000169;IPR013128;IPR039417;IPR038765;IPR013201;IPR000668;IPR025661;IPR025660,extracellular space [GO:0005615]; lysosome [GO:0005764],proteolysis involved in cellular protein catabolic process [GO:0051603],CTSB; CTSC; CTSF; CTSH; CTSK; CTSL; CTSS; CTSV; CTSZ,26-29-p 26 26-29kD-proteinase 29kD-proteinase anon-SAGE:Wang-123 Dmel\CG8947 l(3)s3635 CG8947 Dmel_CG8947,CTSB; CTSC; CTSF; CTSH; CTSK; CTSL; CTSS; CTSV; CTSZ,,
Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM Regulators,Cathepsin,FBgn0029093,FBgn0029093,cathD,Q7K485,CathD (EC 3.4.23.-) (Cathepsin D) (SD07085p),IPR012848;IPR021109;IPR033121;IPR001461;IPR001969,extracellular region [GO:0005576]; lysosome [GO:0005764],apoptotic process [GO:0006915]; autophagic cell death [GO:0048102]; defense response to Gram-negative bacterium [GO:0050829]; nurse cell apoptotic process [GO:0045476]; protein catabolic process [GO:0030163]; proteolysis [GO:0006508]; salivary gland cell autophagic cell death [GO:0035071],CTSD; CTSE,cathD CG1548 Dmel_CG1548,CTSD; CTSE,,
Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM Regulators,Cathepsin,FBgn0034443,FBgn0034443,cer,A1ZBK7,Crammer (EC 3.4.-.-) (GEO13161p1) (LP06209p),IPR013128;IPR038765;IPR013201,endomembrane system [GO:0012505]; lysosome [GO:0005764],inhibition of cysteine-type endopeptidase activity [GO:0097340]; long-term memory [GO:0007616]; short-term memory [GO:0007614],CTSB; CTSC; CTSH; CTSK; CTSL; CTSS; CTSV; CTSZ,cer cer-RA CG10460 Dmel_CG10460,CTSB; CTSC; CTSH; CTSK; CTSL; CTSS; CTSV; CTSZ,,
Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM Regulators,Cathepsin,FBgn0037396,FBgn0037396,CG11459,Q9VNK6,"GH15170p (Uncharacterized protein, isoform A) (EC 3.4.-.-) (EC 3.4.22.-) (Uncharacterized protein, isoform B)",IPR013128;IPR039417;IPR038765;IPR013201;IPR000668;IPR025660,extracellular space [GO:0005615]; lysosome [GO:0005764],immune response [GO:0006955]; positive regulation of apoptotic signaling pathway [GO:2001235]; positive regulation of peptidase activity [GO:0010952]; proteolysis involved in cellular protein catabolic process [GO:0051603],CTSB; CTSC; CTSH; CTSK; CTSL; CTSS; CTSV; CTSZ,CG11459 Dmel_CG11459,CTSB; CTSC; CTSH; CTSK; CTSL; CTSS; CTSV; CTSZ,,
